116.96	117.64	112.54	114.58	117.3	110.16	114.58	109.82	110.84	120.7	120.36	119.68	124.1	125.46	122.4	115.94	124.1	127.84	128.18	121.72	134.3	134.64	146.88	137.36	143.48	138.72	142.46	133.28	137.7	131.92	131.24	129.2	125.8	128.52	128.18	123.76	126.14	119	116.62	107.78	104.38	109.14	107.78	104.04	107.1	101.66	99.28	102.34	98.94	82.28	102	95.54	104.72	
119	125.8	115.26	122.4	110.16	119.34	112.2	117.64	119.68	118.32	124.44	126.14	125.46	125.8	127.5	127.84	129.2	128.18	117.3	135.32	128.52	133.96	139.06	140.76	146.88	148.92	140.42	114.58	148.24	128.18	139.06	135.32	141.44	134.64	126.14	129.54	122.06	126.48	118.32	117.3	111.18	111.18	106.08	109.48	109.14	106.76	108.12	105.06	106.08	102.68	99.96	101.32	97.92	
119.68	120.7	121.72	125.12	116.28	117.64	118.32	115.26	122.74	122.74	126.82	126.82	128.52	127.16	126.48	131.24	133.62	136.68	134.64	140.42	139.06	152.32	146.2	153	147.9	153	146.2	148.58	127.5	145.18	144.84	142.8	155.38	150.62	133.96	141.78	133.96	121.72	133.28	124.1	118.66	122.74	104.04	110.84	114.24	112.54	105.4	109.82	103.7	102	95.88	100.3	108.12	
128.18	131.58	130.56	134.3	123.76	132.26	131.58	127.5	129.54	128.52	132.94	135.66	131.24	133.28	139.06	118.66	145.52	134.64	140.42	148.24	148.92	148.58	148.24	151.3	136.68	150.96	156.06	154.7	149.26	159.8	152.32	158.1	154.02	153.34	148.24	146.88	142.8	135.32	139.74	132.26	128.18	113.56	116.96	114.58	117.64	114.24	117.64	109.48	114.92	111.52	106.42	108.46	110.5	
136	134.98	136.68	137.36	124.44	139.4	130.22	128.52	134.3	133.28	143.48	144.84	151.3	145.18	141.1	149.6	147.9	142.8	159.8	151.3	151.98	153	156.74	159.8	156.74	164.22	158.44	157.08	160.14	155.38	154.02	158.78	160.14	140.42	147.9	148.58	147.22	138.72	138.38	136	131.58	124.1	126.48	124.44	124.78	119	112.2	111.52	113.56	116.96	105.74	109.14	119	
137.7	142.8	143.82	147.9	143.14	139.06	141.44	144.84	140.76	141.1	131.92	150.28	145.86	151.98	156.4	156.74	142.46	149.6	157.08	166.6	150.62	160.48	165.92	153	153.68	154.7	153.34	155.38	168.98	162.52	158.1	171.02	165.92	165.24	157.76	150.96	147.56	141.78	146.88	142.8	138.38	134.64	124.1	131.58	123.42	129.2	127.16	122.74	122.74	125.8	120.02	117.98	119	
156.74	148.92	149.6	151.64	144.84	153.34	149.94	157.76	151.98	153	130.9	161.16	163.88	155.72	169.32	159.8	164.56	156.4	161.84	166.26	165.24	145.86	165.92	162.18	171.7	161.84	173.4	169.66	167.28	174.76	176.12	153	164.9	155.38	165.92	162.52	156.06	157.08	152.66	148.58	144.5	137.36	141.44	141.1	136.68	123.08	124.1	127.16	130.22	122.06	124.44	124.44	123.08	
164.9	163.54	157.08	163.54	160.82	146.2	151.98	157.08	157.76	146.54	166.6	166.6	157.76	171.7	168.3	168.64	168.98	160.14	166.94	172.38	175.44	174.76	181.22	177.82	178.84	175.1	177.82	176.12	173.4	176.46	176.8	173.74	172.04	164.22	171.7	167.96	162.18	153	151.64	152.32	150.62	152.66	147.9	147.9	140.76	121.72	121.72	143.82	127.5	123.76	126.48	123.08	129.88	
172.38	176.12	167.62	160.82	157.42	163.88	163.2	163.54	169.32	166.6	164.22	168.3	171.02	170.34	177.82	171.02	184.62	176.46	165.24	183.6	178.16	187	187.68	188.36	195.2	190.74	184.62	180.88	192.1	190.74	182.96	185.98	186.66	186.66	174.76	178.5	181.22	178.5	167.62	161.16	158.78	151.64	154.7	150.62	147.22	140.08	139.74	133.96	129.2	138.04	141.44	126.14	129.2	
178.16	178.84	170	179.52	173.06	173.4	164.9	172.04	167.96	178.16	170.68	177.48	171.36	173.74	183.26	183.6	182.92	195.16	192.12	192.78	187.68	181.26	200.28	200.6	207.08	204.34	190.48	201.98	200.94	201.66	200.26	193.82	198.56	168.42	189.04	190.74	182.58	187.04	176.12	165.92	172.72	164.22	151.3	158.78	157.42	149.26	138.38	142.46	137.02	146.88	144.5	140.76	140.76	
