79.22	71.4	71.74	74.46	77.52	76.5	64.94	75.82	73.1	84.66	73.1	79.56	78.88	73.44	77.86	79.56	82.96	84.66	88.06	85	92.82	96.9	95.2	97.58	93.5	91.46	96.22	92.82	87.38	93.5	91.12	80.58	87.72	83.3	83.64	81.26	79.9	79.56	73.78	73.44	58.82	71.4	70.04	66.3	63.58	52.02	64.6	60.86	61.54	58.14	59.84	55.08	64.94	
64.94	85.34	77.52	77.52	68.68	76.16	72.08	68	82.28	80.24	89.42	80.92	84.66	93.16	80.92	80.58	81.26	91.12	87.38	89.08	92.82	97.92	92.14	98.6	95.2	93.84	97.58	98.26	96.56	96.9	87.72	96.22	92.48	90.44	97.58	80.92	84.66	86.02	77.86	69.36	66.3	63.58	70.38	70.04	76.16	70.04	65.62	62.22	68.68	63.58	65.28	62.22	61.54	
85.68	79.22	86.02	76.84	72.08	75.82	77.86	81.6	82.28	74.12	79.22	86.36	85.68	89.76	92.14	92.14	90.1	90.44	98.94	95.88	95.54	96.22	96.22	103.7	96.9	106.08	98.6	99.28	96.9	106.42	89.76	104.72	85.68	96.56	88.06	88.4	87.38	89.08	71.74	74.8	81.26	64.94	82.28	77.86	75.48	68.68	68.34	71.4	64.26	70.72	60.52	65.28	59.84	
90.44	87.04	83.3	82.62	81.94	79.56	81.26	83.98	87.04	89.76	90.44	92.82	92.82	86.7	98.26	96.56	98.26	97.58	99.96	105.74	92.14	103.02	99.62	94.52	93.16	108.12	105.06	103.7	107.1	93.84	99.96	99.96	104.04	107.44	91.12	96.56	95.2	89.76	89.76	84.32	87.04	88.74	84.66	85.68	76.5	74.46	73.78	75.14	75.82	75.48	67.32	60.52	61.88	
96.22	86.02	88.4	88.4	84.32	88.06	93.5	87.72	96.9	92.48	91.12	97.92	97.92	105.4	103.02	102.68	104.04	97.58	105.06	102.34	111.18	111.18	109.82	113.22	104.38	108.8	113.9	104.38	108.46	107.44	108.46	109.14	105.74	98.94	105.06	83.64	104.72	94.86	87.38	88.74	87.04	86.7	79.56	81.26	84.66	78.2	74.8	67.66	75.82	74.46	75.48	68	79.22	
102	94.18	99.96	93.84	90.1	93.16	90.78	97.58	100.64	100.3	98.26	89.42	99.62	108.46	107.1	107.1	112.2	107.44	103.36	109.82	113.56	113.22	108.46	111.52	109.48	104.38	114.58	115.26	121.04	116.28	117.98	108.46	111.86	97.92	94.18	100.98	95.88	94.86	103.36	85.68	77.18	87.04	87.04	88.4	78.54	89.08	83.64	76.5	82.62	76.16	76.16	72.76	78.88	
98.94	91.8	99.28	101.66	92.82	98.94	105.06	102.34	105.06	100.64	110.84	101.32	104.72	103.36	110.5	112.54	111.18	118.32	110.84	107.78	118.32	110.16	117.3	114.58	112.2	120.02	109.82	118.32	107.1	119	111.52	119.34	118.32	113.56	114.24	105.06	102.68	102	102.68	98.26	100.3	95.2	95.54	95.54	90.78	83.98	80.92	90.44	79.9	83.3	81.6	78.2	78.2	
107.44	109.14	105.74	99.28	99.28	107.44	97.24	112.54	111.18	114.92	113.56	111.86	105.06	111.18	109.14	116.28	120.7	120.02	122.74	106.42	123.76	119	123.76	122.4	121.38	123.42	119.68	121.04	124.1	123.08	122.06	121.04	116.96	122.06	117.64	118.66	111.18	101.32	112.2	107.1	103.36	99.62	97.58	98.94	85	94.18	93.84	88.06	90.44	83.98	94.52	87.38	91.12	
114.24	113.9	115.6	103.02	114.92	108.12	108.46	113.9	110.16	117.98	110.84	105.06	113.56	120.36	121.04	107.1	115.94	123.76	123.08	120.7	121.04	129.88	133.28	136	128.86	114.24	127.84	119	119	113.22	124.44	131.58	130.56	113.9	124.1	115.94	105.4	116.96	111.52	100.3	111.52	106.42	98.6	100.98	103.7	96.9	94.52	94.18	90.1	91.8	93.84	86.7	86.02	
116.62	115.94	115.26	111.86	116.28	112.2	113.22	113.22	121.04	121.04	123.42	126.82	117.98	122.74	125.12	130.56	118.66	121.72	126.14	120.36	128.52	131.92	127.5	137.7	142.8	125.8	139.06	128.18	141.1	136.34	131.92	128.86	131.92	129.54	131.24	123.42	108.46	127.5	123.08	111.18	112.54	108.46	108.46	105.4	104.72	94.86	100.98	93.16	101.32	96.9	92.82	99.62	100.64	
114.92	119.34	122.74	124.44	114.58	122.06	124.1	118.32	125.8	118.66	126.82	122.06	129.54	124.1	125.12	130.22	130.22	133.96	136.68	137.36	137.36	140.76	140.08	150.96	144.16	143.48	145.18	142.12	142.8	139.74	142.46	136.34	141.44	141.1	136.68	133.96	130.22	130.56	125.8	120.7	113.9	108.12	113.9	107.44	110.5	105.4	107.44	98.94	105.06	105.06	103.7	96.9	96.56	
